gpa_band,mcat_band,acceptees,applicants,acceptance_rate,acceptance_rate_band,source_name,source_url,source_publication_date,notes
3.60-3.79,Less than 486,10,654,1.5,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,486-489,12,787,1.5,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,490-493,72,1516,4.7,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,494-497,364,2741,13.3,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,498-501,947,4397,21.5,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,502-505,1962,6124,32,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,506-509,3167,7836,40.4,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,510-513,4538,8005,56.7,55-69.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,514-517,3711,5678,65.4,55-69.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.60-3.79,Greater than 517,2439,3369,72.4,70%+,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,Less than 486,6,893,0.7,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,486-489,8,929,0.9,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,490-493,51,1547,3.3,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,494-497,283,2545,11.1,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,498-501,652,3468,18.8,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,502-505,1242,4451,27.9,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,506-509,1686,5001,33.7,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,510-513,1945,4290,45.3,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,514-517,1476,2624,56.3,55-69.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.40-3.59,Greater than 517,733,1194,61.4,55-69.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,Less than 486,8,1086,0.7,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,486-489,9,932,1,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,490-493,35,1358,2.6,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,494-497,170,1845,9.2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,498-501,404,2395,16.9,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,502-505,714,2724,26.2,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,506-509,793,2505,31.7,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,510-513,838,2043,41,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,514-517,522,1091,47.8,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.20-3.39,Greater than 517,253,448,56.5,55-69.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,Less than 486,3,999,0.3,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,486-489,10,758,1.3,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,490-493,23,930,2.5,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,494-497,90,1214,7.4,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,498-501,230,1407,16.3,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,502-505,312,1422,21.9,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,506-509,364,1279,28.5,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,510-513,314,919,34.2,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,514-517,191,451,42.4,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
3.00-3.19,Greater than 517,80,188,42.6,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,Less than 486,3,806,0.4,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,486-489,9,518,1.7,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,490-493,12,537,2.2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,494-497,31,631,4.9,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,498-501,83,662,12.5,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,502-505,149,662,22.5,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,506-509,137,512,26.8,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,510-513,96,294,32.7,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,514-517,59,158,37.3,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.80-2.99,Greater than 517,20,62,32.3,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,Less than 486,1,581,0.2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,486-489,3,284,1.1,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,490-493,6,305,2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,494-497,16,319,5,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,498-501,32,302,10.6,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,502-505,52,242,21.5,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,506-509,40,201,19.9,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,510-513,28,119,23.5,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,514-517,24,68,35.3,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.60-2.79,Greater than 517,10,26,38.5,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,Less than 486,1,437,0.2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,486-489,0,168,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,490-493,2,154,1.3,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,494-497,3,150,2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,498-501,9,119,7.6,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,502-505,15,98,15.3,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,506-509,18,72,25,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,510-513,9,41,22,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,514-517,3,12,25,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.40-2.59,Greater than 517,5,18,27.8,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,Less than 486,0,250,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,486-489,1,100,1,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,490-493,1,68,1.5,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,494-497,4,49,8.2,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,498-501,6,44,13.6,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,502-505,4,40,10,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,506-509,6,25,24,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,510-513,2,10,20,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,514-517,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.20-2.39,Greater than 517,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,Less than 486,0,110,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,486-489,0,33,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,490-493,0,27,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,494-497,0,16,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,498-501,1,14,7.1,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,502-505,3,17,17.6,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,506-509,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,510-513,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,514-517,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
2.00-2.19,Greater than 517,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
