source_key,source_name,source_url,source_row_number,explorer_slug,explorer_url,school_name_raw,school_name_clean,search_text,school_type,city,state,country,setting,institution_type,applications_tracked,combined_degree_applications_tracked,notes
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,24,California University of Science and Medicine,https://cycletrack.org/explorer/school/California University of Science and Medicine,California University of Science and Medicine,California University of Science and Medicine,California University of Science and Medicine California University of Science and Medicine-School of Medicine California University of Science and Medicine,MD,Colton,CA,USA,Suburban,Private Institution,1447,16,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,25,Campbell,https://cycletrack.org/explorer/school/Campbell,Campbell University,Campbell University,Campbell Campbell University Jerry M. Wallace School of Osteopathic Medicine Campbell University,DO,Lillington,NC,USA,Rural,Private Institution,555,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,26,Caribe,https://cycletrack.org/explorer/school/Caribe,Universidad Central del Caribe,Universidad Central del Caribe,Caribe Universidad Central del Caribe School of Medicine Universidad Central del Caribe,MD,Bayamon,PR,USA,Urban,Private Institution,47,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,27,Carle Illinois,https://cycletrack.org/explorer/school/Carle Illinois,Carle Illinois,Carle Illinois,Carle Illinois Carle Illinois College of Medicine Carle Illinois,MD,Urbana,IL,USA,Urban,Public Institution,747,16,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,28,Case Western,https://cycletrack.org/explorer/school/Case Western,Case Western Reserve,Case Western Reserve,Case Western Case Western Reserve University School of Medicine Case Western Reserve,MD,Cleveland,OH,USA,Urban,Private Institution,5110,481,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,29,Central Michigan,https://cycletrack.org/explorer/school/Central Michigan,Central Michigan University,Central Michigan University,Central Michigan Central Michigan University College of Medicine Central Michigan University,MD,Mt Pleasant,MI,USA,Rural,Public Institution,1527,8,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,30,Charles R. Drew,https://cycletrack.org/explorer/school/Charles R. Drew,Charles R. Drew University of Medicine and Science,Charles R. Drew University of Medicine and Science,Charles R. Drew Charles R. Drew University of Medicine and Science College of Medicine Charles R. Drew University of Medicine and Science,MD,Los Angeles,CA,USA,Urban,Private Institution,775,7,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,31,Charles R. Drew-UCLA,https://cycletrack.org/explorer/school/Charles R. Drew-UCLA,Charles R. Drew/UCLA Medical Education Program,Charles R. Drew/UCLA Medical Education Program,Charles R. Drew-UCLA Charles R. Drew/UCLA Medical Education Program Charles R. Drew/UCLA Medical Education Program,MD,Los Angeles,CA,USA,Urban,Private Institution,344,11,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,32,Chicago,https://cycletrack.org/explorer/school/Chicago,University of Chicago,University of Chicago,Chicago University of Chicago The Pritzker School of Medicine University of Chicago,MD,Chicago,IL,USA,Urban,Private Institution,4494,527,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,33,Cincinnati,https://cycletrack.org/explorer/school/Cincinnati,University of Cincinnati,University of Cincinnati,Cincinnati University of Cincinnati College of Medicine University of Cincinnati,MD,Cincinnati,OH,USA,Urban,Public Institution,3295,262,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,34,City University of New York,https://cycletrack.org/explorer/school/City University of New York,City University of New York,City University of New York,City University of New York CUNY School of Medicine City University of New York,MD,New York,NY,USA,Urban,Public Institution,95,1,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,35,Cleveland Clinic Lerner,https://cycletrack.org/explorer/school/Cleveland Clinic Lerner,Cleveland Clinic Lerner,Cleveland Clinic Lerner,Cleveland Clinic Lerner Cleveland Clinic Lerner College of Medicine Cleveland Clinic Lerner,MD,Cleveland,OH,USA,Urban,Private Institution,1103,9,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,36,Colorado,https://cycletrack.org/explorer/school/Colorado,University of Colorado,University of Colorado,Colorado University of Colorado School of Medicine University of Colorado,MD,Aurora,CO,USA,Urban,Public Institution,4359,372,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,37,Columbia,https://cycletrack.org/explorer/school/Columbia,Columbia University,Columbia University,Columbia Columbia University Vagelos College of Physicians and Surgeons Columbia University,MD,New York,NY,USA,Urban,Private Institution,4542,591,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,38,Connecticut,https://cycletrack.org/explorer/school/Connecticut,University of Connecticut,University of Connecticut,Connecticut University of Connecticut School of Medicine University of Connecticut,MD,Farmington,CT,USA,Suburban,Public Institution,1729,181,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,39,Cooper Rowan,https://cycletrack.org/explorer/school/Cooper Rowan,Rowan University,Rowan University,Cooper Rowan Cooper Medical School of Rowan University Rowan University,MD,Camden,NJ,USA,Urban,Public Institution,1412,9,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,40,Cornell,https://cycletrack.org/explorer/school/Cornell,Cornell University,Cornell University,Cornell Weill Cornell Medicine Cornell University,MD,New York,NY,USA,Urban,Private Institution,5438,561,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,41,Creighton,https://cycletrack.org/explorer/school/Creighton,Creighton University,Creighton University,Creighton Creighton University School of Medicine Creighton University,MD,Omaha,NE,USA,Urban,Private Institution,2356,25,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,42,Dalhousie,https://cycletrack.org/explorer/school/Dalhousie,Dalhousie University,Dalhousie University,Dalhousie Dalhousie University Faculty of Medicine Dalhousie University,MD,Halifax,NS,CAN,Urban,Public Institution,27,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,43,Dartmouth,https://cycletrack.org/explorer/school/Dartmouth,Dartmouth College,Dartmouth College,Dartmouth Geisel School of Medicine at Dartmouth Dartmouth College,MD,Hanover,NH,USA,Rural,Private Institution,5392,218,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,44,Des Moines,https://cycletrack.org/explorer/school/Des Moines,Des Moines University,Des Moines University,Des Moines Des Moines University College of Osteopathic Medicine Des Moines University,DO,Des Moines,IA,USA,Urban,Private Institution,801,3,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,45,Drexel,https://cycletrack.org/explorer/school/Drexel,Drexel University,Drexel University,Drexel Drexel University College of Medicine Drexel University,MD,Philadelphia,PA,USA,Urban,Private Institution,6352,120,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,46,Duke,https://cycletrack.org/explorer/school/Duke,Duke University,Duke University,Duke Duke University School of Medicine Duke University,MD,Durham,NC,USA,Urban,Private Institution,4917,618,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,47,Duquesne University COM,https://cycletrack.org/explorer/school/Duquesne University COM,Duquesne University,Duquesne University,Duquesne University COM Duquesne University College of Osteopathic Medicine Duquesne University,DO,Pittsburgh,PA,USA,Urban,Private Institution,384,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,48,East Carolina,https://cycletrack.org/explorer/school/East Carolina,East Carolina University,East Carolina University,East Carolina Brody School of Medicine at East Carolina University East Carolina University,MD,Greenville,NC,USA,Urban,Public Institution,499,4,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,49,East Tennessee,https://cycletrack.org/explorer/school/East Tennessee,East Tennessee State University,East Tennessee State University,East Tennessee East Tennessee State University James H. Quillen College of Medicine East Tennessee State University,MD,Johnson City,TN,USA,Urban,Public Institution,468,5,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,50,Eastern Virginia,https://cycletrack.org/explorer/school/Eastern Virginia,Eastern Virginia Medical School,Eastern Virginia Medical School,Eastern Virginia Eastern Virginia Medical School Eastern Virginia Medical School,MD,Norfolk,VA,USA,Urban,Public Institution,2886,7,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,51,Edward Via - Auburn,https://cycletrack.org/explorer/school/Edward Via - Auburn,Edward Via College of Osteopathic Medicine (Auburn),Edward Via College of Osteopathic Medicine (Auburn),Edward Via - Auburn Edward Via College of Osteopathic Medicine Auburn Campus Edward Via College of Osteopathic Medicine (Auburn),DO,Auburn,AL,USA,Suburban,Private Institution,439,1,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,52,Edward Via - Carolinas,https://cycletrack.org/explorer/school/Edward Via - Carolinas,Edward Via College of Osteopathic Medicine (Carolinas),Edward Via College of Osteopathic Medicine (Carolinas),Edward Via - Carolinas Edward Via College of Osteopathic Medicine Carolinas Campus Edward Via College of Osteopathic Medicine (Carolinas),DO,Spartansburg,SC,USA,Suburban,Private Institution,484,3,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,53,Edward Via - Louisiana,https://cycletrack.org/explorer/school/Edward Via - Louisiana,Edward Via College of Osteopathic Medicine (Louisiana),Edward Via College of Osteopathic Medicine (Louisiana),Edward Via - Louisiana Edward Via College of Osteopathic Medicine Louisiana Campus Edward Via College of Osteopathic Medicine (Louisiana),DO,Monroe,LA,USA,Rural,Private Institution,324,1,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,54,Edward Via - Virginia,https://cycletrack.org/explorer/school/Edward Via - Virginia,Edward Via College of Osteopathic Medicine (Virginia),Edward Via College of Osteopathic Medicine (Virginia),Edward Via - Virginia Edward Via College of Osteopathic Medicine Virginia Campus Edward Via College of Osteopathic Medicine (Virginia),DO,Blacksburg,VA,USA,Suburban,Private Institution,753,4,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,55,Emory,https://cycletrack.org/explorer/school/Emory,Emory University,Emory University,Emory Emory University School of Medicine Emory University,MD,Atlanta,GA,USA,Suburban,Private Institution,6724,565,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,56,Florida,https://cycletrack.org/explorer/school/Florida,University of Florida,University of Florida,Florida University of Florida College of Medicine University of Florida,MD,Gainesville,FL,USA,Suburban,Public Institution,1557,110,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,57,Florida Atlantic,https://cycletrack.org/explorer/school/Florida Atlantic,Florida Atlantic University,Florida Atlantic University,Florida Atlantic Charles E. Schmidt College of Medicine at Florida Atlantic University Florida Atlantic University,MD,Boca Raton,FL,USA,Urban,Public Institution,1251,13,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,58,Florida International,https://cycletrack.org/explorer/school/Florida International,Florida International University,Florida International University,Florida International Florida International University Herbert Wertheim College of Medicine Florida International University,MD,Miami,FL,USA,Urban,Public Institution,1398,7,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,59,Florida State,https://cycletrack.org/explorer/school/Florida State,Florida State University,Florida State University,Florida State Florida State University College of Medicine Florida State University,MD,Tallahassee,FL,USA,Urban,Public Institution,1173,7,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,60,Geisinger Commonwealth,https://cycletrack.org/explorer/school/Geisinger Commonwealth,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth Geisinger Commonwealth School of Medicine Geisinger Commonwealth School of Medicine,MD,Scranton,PA,USA,Urban,Private Institution,2341,8,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,61,George Washington,https://cycletrack.org/explorer/school/George Washington,George Washington University,George Washington University,George Washington George Washington University School of Medicine and Health Sciences George Washington University,MD,Washington,DC,USA,Urban,Private Institution,6370,22,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,62,Georgetown,https://cycletrack.org/explorer/school/Georgetown,Georgetown University,Georgetown University,Georgetown Georgetown University School of Medicine Georgetown University,MD,Washington,DC,USA,Urban,Private Institution,6380,223,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,63,Hackensack Meridian,https://cycletrack.org/explorer/school/Hackensack Meridian,Hackensack Meridian School of Medicine,Hackensack Meridian School of Medicine,Hackensack Meridian Hackensack Meridian School of Medicine Hackensack Meridian School of Medicine,MD,Nutley,NJ,USA,Suburban,Private Institution,2532,8,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,64,Harvard,https://cycletrack.org/explorer/school/Harvard,Harvard Medical School,Harvard Medical School,Harvard Harvard Medical School Harvard Medical School,MD,Boston,MA,USA,Urban,Private Institution,5212,719,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,65,Hawaii,https://cycletrack.org/explorer/school/Hawaii,University of Hawaii,University of Hawaii,"Hawaii University of Hawaii, John A. Burns School of Medicine University of Hawaii",MD,Honolulu,HI,USA,Urban,Public Institution,458,7,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,66,Hofstra,https://cycletrack.org/explorer/school/Hofstra,Hofstra University,Hofstra University,Hofstra Donald and Barbara Zucker School of Medicine at Hofstra/Northwell Hofstra University,MD,Hempstead,NY,USA,Suburban,Private Institution,3075,107,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,67,Houston,https://cycletrack.org/explorer/school/Houston,University of Houston,University of Houston,Houston University of Houston Tilman J. Fertitta Family College of Medicine University of Houston,MD,Houston,TX,USA,Urban,Public Institution,729,10,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,68,Howard,https://cycletrack.org/explorer/school/Howard,Howard University,Howard University,Howard Howard University College of Medicine Howard University,MD,Washington,DC,USA,Urban,Private Institution,1396,36,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,69,Idaho COM,https://cycletrack.org/explorer/school/Idaho COM,Idaho College of Osteopathic Medicine,Idaho College of Osteopathic Medicine,Idaho COM Idaho College of Osteopathic Medicine Idaho College of Osteopathic Medicine,DO,Meridian,ID,USA,Urban,Private Institution,343,1,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,70,Illinois,https://cycletrack.org/explorer/school/Illinois,University of Illinois,University of Illinois,Illinois University of Illinois College of Medicine University of Illinois,MD,Chicago,IL,USA,Urban,Public Institution,3510,302,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,71,Illinois COM,https://cycletrack.org/explorer/school/Illinois COM,Illinois College of Osteopathic Medicine,Illinois College of Osteopathic Medicine,Illinois COM Illinois College of Osteopathic Medicine Illinois College of Osteopathic Medicine,DO,Chicago,IL,USA,Urban,Private Institution,151,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,72,Incarnate Word,https://cycletrack.org/explorer/school/Incarnate Word,University of the Incarnate Word,University of the Incarnate Word,Incarnate Word University of the Incarnate Word School of Osteopathic Medicine University of the Incarnate Word,DO,San Antonio,TX,USA,Urban,Private Institution,399,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,73,Indiana,https://cycletrack.org/explorer/school/Indiana,Indiana University,Indiana University,Indiana Indiana University School of Medicine Indiana University,MD,Indianapolis,IN,USA,Urban,Public Institution,2192,196,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,74,Iowa,https://cycletrack.org/explorer/school/Iowa,University of Iowa,University of Iowa,Iowa University of Iowa Roy J. and Lucille A. Carver College of Medicine University of Iowa,MD,Iowa City,IA,USA,Suburban,Public Institution,1693,200,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,75,Jefferson,https://cycletrack.org/explorer/school/Jefferson,Thomas Jefferson University,Thomas Jefferson University,Jefferson Sidney Kimmel Medical College at Thomas Jefferson University Thomas Jefferson University,MD,Philadelphia,PA,USA,Urban,Private Institution,5836,174,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,76,Johns Hopkins,https://cycletrack.org/explorer/school/Johns Hopkins,Johns Hopkins University,Johns Hopkins University,Johns Hopkins Johns Hopkins University School of Medicine Johns Hopkins University,MD,Balitmore,MD,USA,Urban,Private Institution,3904,534,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,77,Kaiser Permanente,https://cycletrack.org/explorer/school/Kaiser Permanente,Kaiser Permanente,Kaiser Permanente,Kaiser Permanente Kaiser Permanente Bernard J. Tyson School of Medicine Kaiser Permanente,MD,Pasadena,CA,USA,Urban,Private Institution,3391,144,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,78,Kansas,https://cycletrack.org/explorer/school/Kansas,University of Kansas,University of Kansas,Kansas University of Kansas School of Medicine University of Kansas,MD,Kansas City,KS,USA,Urban,Public Institution,672,91,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,79,Kansas COM,https://cycletrack.org/explorer/school/Kansas COM,Kansas College of Osteopathic Medicine,Kansas College of Osteopathic Medicine,Kansas COM Kansas Health Science Center-Kansas College of Osteopathic Medicine Kansas College of Osteopathic Medicine,DO,Wichita,KS,USA,Urban,Private Institution,304,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,80,Kansas City University COM,https://cycletrack.org/explorer/school/Kansas City University COM,Kansas City University,Kansas City University,Kansas City University COM Kansas City University College of Osteopathic Medicine Kansas City University,DO,Kansas City,MO,USA,Urban,Private Institution,826,3,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,81,Kentucky,https://cycletrack.org/explorer/school/Kentucky,University of Kentucky,University of Kentucky,Kentucky University of Kentucky College of Medicine University of Kentucky,MD,Lexington,KY,USA,Urban,Public Institution,788,86,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,82,Kentucky COM,https://cycletrack.org/explorer/school/Kentucky COM,Kentucky College of Osteopathic Medicine,Kentucky College of Osteopathic Medicine,Kentucky COM Kentucky College of Osteopathic Medicine Kentucky College of Osteopathic Medicine,DO,Pikeville,KY,USA,Suburban,Private Institution,323,1,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,83,LSU - New Orleans,https://cycletrack.org/explorer/school/LSU - New Orleans,Louisiana State University (New Orleans),Louisiana State University (New Orleans),LSU - New Orleans Louisiana State University School of Medicine in New Orleans Louisiana State University (New Orleans),MD,New Orleans,LA,USA,Urban,Public Institution,558,35,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,84,LSU - Shreveport,https://cycletrack.org/explorer/school/LSU - Shreveport,Louisiana State University (Shreveport),Louisiana State University (Shreveport),LSU - Shreveport Louisiana State University School of Medicine in Shreveport Louisiana State University (Shreveport),MD,Shreveport,LA,USA,Urban,Public Institution,441,16,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,85,Lake Erie,https://cycletrack.org/explorer/school/Lake Erie,Lake Erie College of Osteopathic Medicine (Erie),Lake Erie College of Osteopathic Medicine (Erie),Lake Erie Lake Erie College of Osteopathic Medicine Lake Erie College of Osteopathic Medicine (Erie),DO,Erie,PA,USA,Suburban,Private Institution,1320,4,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,86,Lake Erie - Bradenton,https://cycletrack.org/explorer/school/Lake Erie - Bradenton,Lake Erie College of Osteopathic Medicine (Bradenton),Lake Erie College of Osteopathic Medicine (Bradenton),Lake Erie - Bradenton Lake Erie College of Osteopathic Medicine - Bradenton Campus Lake Erie College of Osteopathic Medicine (Bradenton),DO,Bradenton,FL,USA,Suburban,Private Institution,552,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,87,Laval,https://cycletrack.org/explorer/school/Laval,Laval University,Laval University,Laval Laval University Faculty of Medicine Laval University,MD,Québec City,QC,CAN,Urban,Public Institution,8,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,88,Liberty,https://cycletrack.org/explorer/school/Liberty,Liberty University,Liberty University,Liberty Liberty University College of Osteopathic Medicine Liberty University,DO,Lynchburg,VA,USA,Rural,Private Institution,222,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,89,Lincoln Memorial,https://cycletrack.org/explorer/school/Lincoln Memorial,Lincoln Memorial University,Lincoln Memorial University,Lincoln Memorial Lincoln Memorial University-DeBusk College of Osteopathic Medicine Lincoln Memorial University,DO,Harrogate,TN,USA,Rural,Private Institution,616,1,
