school_id,school_name,degree_type,candidate_count,official_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
md_the_ohio_state_university_college_of_medicine_columbus_ohio,The Ohio State University College of Medicine,MD,23,22,23,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,3,2,3,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_northeast_ohio_medical_university_college_of_medicine_rootstown_ohio,Northeast Ohio Medical University College of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_toledo_college_of_medicine_and_life_sciences_toledo_ohio,University of Toledo College of Medicine and Life Sciences,MD,2,2,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_oklahoma_college_of_medicine_oklahoma_city_oklahoma,University of Oklahoma College of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_oregon_health_and_science_university_school_of_medicine_portland_oregon,Oregon Health & Science University School of Medicine,MD,4,3,4,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_penn_state_college_of_medicine_hershey_pennsylvania,Penn State College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_lewis_katz_school_of_medicine_at_temple_university_philadelphia_pennsylvania,Lewis Katz School of Medicine at Temple University,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_raymond_and_ruth_perelman_school_of_medicine_at_the_university_of_pennsylvania_p,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,MD,2,2,2,2,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_sidney_kimmel_medical_college_at_thomas_jefferson_university_philadelphia_pennsy,Sidney Kimmel Medical College at Thomas Jefferson University,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_pittsburgh_school_of_medicine_pittsburgh_pennsylvania,University of Pittsburgh School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_geisinger_commonwealth_school_of_medicine_scranton_pennsylvania,Geisinger Commonwealth School of Medicine,MD,2,0,2,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_the_warren_alpert_medical_school_of_brown_university_providence_rhode_island,The Warren Alpert Medical School of Brown University,MD,1,1,1,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_medical_university_of_south_carolina_college_of_medicine_charleston_south_caroli,Medical University of South Carolina College of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_south_carolina_kay_and_c_edward_floyd_m_d_school_of_medicine_colum,"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",MD,3,2,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_south_dakota_sanford_school_of_medicine_vermillion_south_dakota,University of South Dakota Sanford School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_east_tennessee_state_university_james_h_quillen_college_of_medicine_johnson_city,East Tennessee State University James H. Quillen College of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_tennessee_health_science_center_college_of_medicine_memphis_tennes,University of Tennessee Health Science Center College of Medicine,MD,14,13,14,2,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_meharry_medical_college_school_of_medicine_nashville_tennessee,Meharry Medical College School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_thomas_f_frist_jr_college_of_medicine_at_belmont_university_nashville_tennessee,"Thomas F. Frist, Jr. College of Medicine at Belmont University",MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_vanderbilt_university_school_of_medicine_nashville_tennessee,Vanderbilt University School of Medicine,MD,2,1,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_dell_medical_school_university_of_texas_at_austin_austin_texas,Dell Medical School – University of Texas at Austin,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_texas_a_and_m_university_naresh_k_vashisht_college_of_medicine_college_station_t,Texas A&M University Naresh K. Vashisht College of Medicine,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_texas_southwestern_medical_school_dallas_texas,University of Texas Southwestern Medical School,MD,1,1,1,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_university_of_texas_rio_grande_valley_school_of_medicine_edinburg_texas,University of Texas Rio Grande Valley School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_paul_l_foster_school_of_medicine_texas_tech_university_health_sciences_center_at,Paul L. Foster School of Medicine Texas Tech University Health Sciences Center at El Paso,MD,2,1,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_anne_burnett_marion_school_of_medicine_at_texas_christian_university_fort_worth_,Anne Burnett Marion School of Medicine at Texas Christian University,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_texas_medical_branch_john_sealy_school_of_medicine_galveston_texas,University of Texas Medical Branch John Sealy School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_baylor_college_of_medicine_school_of_medicine_houston_texas,Baylor College of Medicine School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_mcgovern_medical_school_at_uthealth_houston_houston_texas,McGovern Medical School at UTHealth Houston,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
